id,status,scope,type,severity,file,start_line,end_line,summary,patch_path,preview_path,campaign,original_hash,reviewer_notes,decided_at,applied_at,apply_error
MEAT-0201,rejected,localized,metaphor-load,low,books/symbolic-language/03-signs-and-similitudes.adoc,209,209,Remove lens metaphor before the Israel-as-similitude turn.,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/patches/MEAT-0201.diff,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/previews/MEAT-0201.md,P3-C001,7a22a500b795db73,,2026-07-10T17:44:22+00:00,,
MEAT-0202,rejected,localized,grammar-clarity,medium,books/symbolic-language/23-path-to-salvation.adoc,192,192,Replace clunky “also known as” sentence after John 5:14.,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/patches/MEAT-0202.diff,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/previews/MEAT-0202.md,P3-C001,810c595989af1d26,SUPERSEDED: passage was already rewritten; old clunky 'also known as' sentence is no longer present in the manuscript.,2026-07-11T03:35:46+00:00,,
MEAT-0203,applied,localized,bad-metaphor,medium,books/symbolic-language/34-the-fall-of-babylon.adoc,49,49,Tame the “out-devours the devourers” metaphor.,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/patches/MEAT-0203.diff,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/previews/MEAT-0203.md,P3-C001,322a9b6b5dec303f,,2026-07-10T17:44:55+00:00,2026-07-11T03:33:40+00:00,
MEAT-0204,applied,localized,presenter-tone,medium,books/symbolic-language/39-sea-and-waters.adoc,313,313,Replace a lesson-cue with the actual claim.,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/patches/MEAT-0204.diff,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/previews/MEAT-0204.md,P3-C001,652025d0d9c1a918,,2026-07-10T17:45:03+00:00,2026-07-11T03:33:40+00:00,
MEAT-0205,applied,localized,rough-transition,low,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,350,350,Smooth “make of its reader” phrasing.,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/patches/MEAT-0205.diff,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/previews/MEAT-0205.md,P3-C001,3c98db198c9b6ead,,2026-07-10T17:46:19+00:00,2026-07-11T03:33:40+00:00,
MEAT-0206,applied,localized,rough-transition,low,books/symbolic-language/12-wings.adoc,206,206,Make the Wings chapter handoff more concrete.,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/patches/MEAT-0206.diff,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/previews/MEAT-0206.md,P3-C001,887403d88babb4a4,,2026-07-10T17:46:32+00:00,2026-07-11T03:33:40+00:00,
MEAT-0207,applied,localized,long-sentence,medium,books/symbolic-language/10-the-coin.adoc,137,137,Split the tabernacle-socket sentence in the Coin chapter.,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/patches/MEAT-0207.diff,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/previews/MEAT-0207.md,P3-C002,4776ae781336c59e,,2026-07-10T17:46:40+00:00,2026-07-11T03:33:40+00:00,
MEAT-0208,applied,localized,long-sentence,medium,books/symbolic-language/14-the-remnant.adoc,115,115,Split the field-edge math sentence.,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/patches/MEAT-0208.diff,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/previews/MEAT-0208.md,P3-C002,225c180e1dfb0118,,2026-07-10T17:46:49+00:00,2026-07-11T03:33:40+00:00,
MEAT-0209,applied,localized,long-sentence,medium,books/symbolic-language/14-the-remnant.adoc,333,333,Break the print-edition remnant evidence chain into three sentences.,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/patches/MEAT-0209.diff,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/previews/MEAT-0209.md,P3-C002,1ecebf554e24ca3d,,2026-07-10T17:47:20+00:00,2026-07-11T03:33:40+00:00,
MEAT-0210,applied,localized,long-sentence,medium,books/symbolic-language/17-justice-and-judgment.adoc,156,156,Split the Judgment Day explanation before James 2:12.,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/patches/MEAT-0210.diff,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/previews/MEAT-0210.md,P3-C002,87fad28fc486103d,,2026-07-10T17:47:27+00:00,2026-07-11T03:33:40+00:00,
MEAT-0211,applied,localized,long-sentence,medium,books/symbolic-language/21-worship.adoc,133,133,Split the worship-at-appointed-times proof chain.,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/patches/MEAT-0211.diff,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/previews/MEAT-0211.md,P3-C002,c222364563b1fa6e,,2026-07-10T17:47:31+00:00,2026-07-11T03:33:40+00:00,
MEAT-0212,applied,localized,long-sentence,medium,books/symbolic-language/38-mountain.adoc,167,167,Split the shachar explanation in the Mountain chapter.,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/patches/MEAT-0212.diff,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/previews/MEAT-0212.md,P3-C002,166d722b91201e36,,2026-07-10T17:47:37+00:00,2026-07-11T03:33:40+00:00,
MEAT-0213,applied,localized,long-sentence,medium,books/symbolic-language/30-the-pearl.adoc,191,191,Split the throne/full-moon explanation at the chapter handoff.,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/patches/MEAT-0213.diff,books/symbolic-language/editorial-review/2026-07-10-phase-3-audit/previews/MEAT-0213.md,P3-C002,b42d3ee105b23ee7,,2026-07-10T17:47:47+00:00,2026-07-11T03:33:40+00:00,
